image_id,version,ssim,psnr,mse
000000000036,v1,0.409434,12.1725,0.060639
000000000036,v2,0.412087,12.3217,0.058590
000000000036,v3,0.442294,13.4696,0.044982
000000000036,v6,0.311394,9.3783,0.115390
000000000077,v1,0.222181,6.2945,0.234721
000000000077,v2,0.345483,14.7883,0.033202
000000000077,v3,0.353708,14.8800,0.032508
000000000077,v6,0.167443,6.0415,0.248798
000000262235,v1,0.306886,8.3327,0.146802
000000262235,v2,0.275075,7.2995,0.186229
000000262235,v3,0.469134,18.2428,0.014987
000000263604,v1,0.205981,9.3600,0.115878
000000263604,v2,0.210096,8.1130,0.154420
000000263604,v3,0.317928,11.6256,0.068776
000000525732,v1,0.426334,6.1367,0.243403
000000525732,v2,0.489642,12.8036,0.052437
000000525732,v3,0.521559,15.5409,0.027919
000000525732,v6,0.359070,4.9775,0.317870
